number_of_trees,criterion,maximal_depth,apply_pruning,confidence,apply_prepruning,minimal_gain,minimal_leaf_size,minimal_size_for_split,number_of_prepruning_alternatives,random_splits,guess_subset_ratio,subset_ratio,voting_strategy,use_local_random_seed,local_random_seed,enable_parallel_execution,PREC_AT_99_REC
500,accuracy,10,true,0.25,true,0.1,500,4,3, false,false,0.8,confidence_vote, false,null,true,0.6839
500,accuracy,10,true,0.25,true,0.1,20,4,3, false,false,0.8,confidence_vote, false,null,true,0.7543
50,accuracy,10,true,0.25,true,0.1,20,4,3, false,false,0.8,confidence_vote, false,null,true,0.7601
200,accuracy,10,true,0.25,true,0.1,20,4,3, false,false,0.8,confidence_vote, false,null,true,0.7753
200,accuracy,10,true,0.25,true,0.1,500,4,3, false,false,0.8,confidence_vote, false,null,true,0.7754
500,accuracy,10,true,0.25,true,0.1,2,4,3, false,false,0.8,confidence_vote, false,null,true,0.7756
500,accuracy,10,false,0.25,true,0.1,2,4,3, false,false,0.8,confidence_vote, false,null,true,0.7756
200,accuracy,10,true,0.25,true,0.1,2,4,3, false,false,0.8,confidence_vote, false,null,true,0.7779
200,accuracy,10,false,0.25,true,0.1,2,4,3, false,false,0.8,confidence_vote, false,null,true,0.7779
50,accuracy,10,true,0.25,true,0.1,500,4,3, false,false,0.8,confidence_vote, false,null,true,0.8292
50,accuracy,10,true,0.25,true,0.1,2,4,3, false,false,0.8,confidence_vote, false,null,true,0.833
50,accuracy,10,false,0.25,true,0.1,2,4,3, false,false,0.8,confidence_vote, false,null,true,0.833
500,accuracy,10,true,0.25,true,0.5,500,4,3, false,false,0.3,confidence_vote, false,null,true,0.8547
50,accuracy,10,true,0.25,true,0.5,2,4,3, false,true,0.3,confidence_vote, false,null,true,0.8562
500,accuracy,10,true,0.25,true,0.5,2,4,3, false,false,0.3,confidence_vote, false,null,true,0.9482
500,accuracy,10,true,0.25,true,0.5,20,4,3, false,false,0.3,confidence_vote, false,null,true,0.9482
500,accuracy,10,true,0.25,true,0.5,2,4,3, false,true,0.3,confidence_vote, false,null,true,0.9483
500,accuracy,10,true,0.25,true,0.5,20,4,3, false,true,0.3,confidence_vote, false,null,true,0.9483
500,accuracy,10,true,0.25,true,0.5,500,4,3, false,true,0.3,confidence_vote, false,null,true,0.9483
200,accuracy,10,true,0.25,true,0.5,2,4,3, false,false,0.8,confidence_vote, false,null,true,0.9537
500,accuracy,10,true,0.25,true,0.5,2,4,3, false,false,0.8,confidence_vote, false,null,true,0.9537
200,accuracy,10,true,0.25,true,0.5,20,4,3, false,false,0.8,confidence_vote, false,null,true,0.9537
500,accuracy,10,true,0.25,true,0.5,20,4,3, false,false,0.8,confidence_vote, false,null,true,0.9537
200,accuracy,10,true,0.25,true,0.5,500,4,3, false,false,0.8,confidence_vote, false,null,true,0.9537
500,accuracy,10,true,0.25,true,0.5,500,4,3, false,false,0.8,confidence_vote, false,null,true,0.9537
50,accuracy,10,true,0.25,true,0.5,2,4,3, false,false,0.8,confidence_vote, false,null,true,0.9539
50,accuracy,10,true,0.25,true,0.5,20,4,3, false,false,0.8,confidence_vote, false,null,true,0.9539
50,accuracy,10,true,0.25,true,0.5,500,4,3, false,false,0.8,confidence_vote, false,null,true,0.9539
50,accuracy,10,true,0.25,true,0.5,2,4,3, false,false,0.3,confidence_vote, false,null,true,0.9541
50,accuracy,10,true,0.25,true,0.5,20,4,3, false,false,0.3,confidence_vote, false,null,true,0.9541
50,accuracy,10,true,0.25,true,0.5,500,4,3, false,false,0.3,confidence_vote, false,null,true,0.9541
200,accuracy,10,true,0.25,true,0.5,2,4,3, false,false,0.3,confidence_vote, false,null,true,0.9542
200,accuracy,10,true,0.25,true,0.5,20,4,3, false,false,0.3,confidence_vote, false,null,true,0.9542
200,accuracy,10,true,0.25,true,0.5,500,4,3, false,false,0.3,confidence_vote, false,null,true,0.9542
200,accuracy,10,true,0.25,true,0.5,2,4,3, false,true,0.3,confidence_vote, false,null,true,0.9544
50,accuracy,10,true,0.25,true,0.5,20,4,3, false,true,0.3,confidence_vote, false,null,true,0.9544
200,accuracy,10,true,0.25,true,0.5,20,4,3, false,true,0.3,confidence_vote, false,null,true,0.9544
50,accuracy,10,true,0.25,true,0.5,500,4,3, false,true,0.3,confidence_vote, false,null,true,0.9544
200,accuracy,10,true,0.25,true,0.5,500,4,3, false,true,0.3,confidence_vote, false,null,true,0.9544
50,accuracy,10,true,0.25,true,5,2,4,3, false,false,0.3,confidence_vote, false,null,true,NA
200,accuracy,10,true,0.25,true,5,2,4,3, false,false,0.3,confidence_vote, false,null,true,NA
500,accuracy,10,true,0.25,true,5,2,4,3, false,false,0.3,confidence_vote, false,null,true,NA
50,accuracy,10,true,0.25,true,5,20,4,3, false,false,0.3,confidence_vote, false,null,true,NA
200,accuracy,10,true,0.25,true,5,20,4,3, false,false,0.3,confidence_vote, false,null,true,NA
500,accuracy,10,true,0.25,true,5,20,4,3, false,false,0.3,confidence_vote, false,null,true,NA
50,accuracy,10,true,0.25,true,5,500,4,3, false,false,0.3,confidence_vote, false,null,true,NA
200,accuracy,10,true,0.25,true,5,500,4,3, false,false,0.3,confidence_vote, false,null,true,NA
500,accuracy,10,true,0.25,true,5,500,4,3, false,false,0.3,confidence_vote, false,null,true,NA
50,accuracy,10,true,0.25,true,5,2,4,3, false,false,0.8,confidence_vote, false,null,true,NA
200,accuracy,10,true,0.25,true,5,2,4,3, false,false,0.8,confidence_vote, false,null,true,NA
500,accuracy,10,true,0.25,true,5,2,4,3, false,false,0.8,confidence_vote, false,null,true,NA
50,accuracy,10,true,0.25,true,5,20,4,3, false,false,0.8,confidence_vote, false,null,true,NA
200,accuracy,10,true,0.25,true,5,20,4,3, false,false,0.8,confidence_vote, false,null,true,NA
500,accuracy,10,true,0.25,true,5,20,4,3, false,false,0.8,confidence_vote, false,null,true,NA
50,accuracy,10,true,0.25,true,5,500,4,3, false,false,0.8,confidence_vote, false,null,true,NA
200,accuracy,10,true,0.25,true,5,500,4,3, false,false,0.8,confidence_vote, false,null,true,NA
500,accuracy,10,true,0.25,true,5,500,4,3, false,false,0.8,confidence_vote, false,null,true,NA
50,accuracy,10,true,0.25,true,5,2,4,3, false,true,0.3,confidence_vote, false,null,true,NA
200,accuracy,10,true,0.25,true,5,2,4,3, false,true,0.3,confidence_vote, false,null,true,NA
500,accuracy,10,true,0.25,true,5,2,4,3, false,true,0.3,confidence_vote, false,null,true,NA
50,accuracy,10,true,0.25,true,5,20,4,3, false,true,0.3,confidence_vote, false,null,true,NA
200,accuracy,10,true,0.25,true,5,20,4,3, false,true,0.3,confidence_vote, false,null,true,NA
500,accuracy,10,true,0.25,true,5,20,4,3, false,true,0.3,confidence_vote, false,null,true,NA
50,accuracy,10,true,0.25,true,5,500,4,3, false,true,0.3,confidence_vote, false,null,true,NA
200,accuracy,10,true,0.25,true,5,500,4,3, false,true,0.3,confidence_vote, false,null,true,NA
500,accuracy,10,true,0.25,true,5,500,4,3, false,true,0.3,confidence_vote, false,null,true,NA
200,accuracy,20,true,0.25,false,0.1,2,4,3, false,true,0.3,confidence_vote, false,null,true,0.404
500,accuracy,20,true,0.25,true,0.1,500,4,3, false,true,0.3,confidence_vote, false,null,true,0.4151
500,accuracy,20,true,0.25,false,0.1,2,4,3, false,true,0.3,confidence_vote, false,null,true,0.4607
500,accuracy,20,true,0.25,false,0.1,2,4,3, false,false,0.3,confidence_vote, false,null,true,0.5089
200,accuracy,20,true,0.25,true,0.1,500,4,3, false,true,0.3,confidence_vote, false,null,true,0.5091
200,accuracy,20,true,0.25,true,0.1,500,4,3, false,false,0.3,confidence_vote, false,null,true,0.5125
500,accuracy,20,true,0.25,true,0.1,500,4,3, false,false,0.3,confidence_vote, false,null,true,0.5127
200,accuracy,20,true,0.25,false,0.1,2,4,3, false,false,0.3,confidence_vote, false,null,true,0.5222
50,accuracy,20,true,0.25,true,0.1,500,4,3, false,false,0.3,confidence_vote, false,null,true,0.5277
50,accuracy,20,true,0.25,true,0.1,500,4,3, false,true,0.3,confidence_vote, false,null,true,0.5429
200,accuracy,20,true,0.25,true,0.1,20,4,3, false,true,0.3,confidence_vote, false,null,true,0.5492
50,accuracy,20,true,0.25,true,0.1,20,4,3, false,true,0.3,confidence_vote, false,null,true,0.5514
200,accuracy,20,true,0.25,true,0.1,2,4,3, false,true,0.3,confidence_vote, false,null,true,0.5608
500,accuracy,20,true,0.25,true,0.1,20,4,3, false,true,0.3,confidence_vote, false,null,true,0.5629
500,accuracy,20,true,0.25,true,0.1,2,4,3, false,true,0.3,confidence_vote, false,null,true,0.5635
50,accuracy,20,true,0.25,true,0.1,2,4,3, false,true,0.3,confidence_vote, false,null,true,0.5638
200,accuracy,20,true,0.25,true,0.1,2,4,3, false,false,0.3,confidence_vote, false,null,true,0.5661
500,accuracy,20,true,0.25,true,0.1,2,4,3, false,false,0.3,confidence_vote, false,null,true,0.5673
50,accuracy,20,true,0.25,true,0.1,2,4,3, false,false,0.3,confidence_vote, false,null,true,0.5884
50,accuracy,20,true,0.25,false,0.1,2,4,3, false,false,0.3,confidence_vote, false,null,true,0.5994
50,accuracy,20,true,0.25,false,0.1,2,4,3, false,true,0.3,confidence_vote, false,null,true,0.6258
500,accuracy,20,true,0.25,true,0.1,500,4,3, false,false,0.8,confidence_vote, false,null,true,0.6839
500,accuracy,20,true,0.25,true,0.1,20,4,3, false,false,0.8,confidence_vote, false,null,true,0.7543
200,accuracy,20,true,0.25,true,0.1,20,4,3, false,false,0.8,confidence_vote, false,null,true,0.7753
200,accuracy,20,true,0.25,true,0.1,500,4,3, false,false,0.8,confidence_vote, false,null,true,0.7754
500,accuracy,20,true,0.25,true,0.1,2,4,3, false,false,0.8,confidence_vote, false,null,true,0.7756
